no,co,s,l,r,b,le,sa,t,ra,si
11.92,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.7,7.2
11.96,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
11.961,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
11.962,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
11.963,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
11.964,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
11.S187,11,[],[],[],[],U,,['SP'],0,0
11.S189,11,[],[],[],[],U,,['SP'],0,0
11.S196,11,['l'],"[[[[42, 6]], '9-255']]",[],[],U,,"['FA', 'SP']",7,1
11.S940,11,['l'],"[[[[10, 6]], '4-144']]",[],[],G,,['SP'],6.3,13
